Titulo,Mision,Rey,Iglesia,Nobleza,Descontento,Influencia,cura,noble,malechor,x,y,start,exito,fallo
Los franceses quieren guerra,"Excelencia, corren nuevas de gran gravedad: se dice que Francia ha declarado la guerra a España, rompiendo toda esperanza de concordia. Si el rumor es cierto, podríamos ver abrirse un nuevo frente en medio de nuestras fatigas. Las plazas murmuran, los comerciantes tiemblan, y algunos nobles ya hablan de levas y tributos. ¿Ordenáis enviar pesquisidor a confirmar la noticia, o que se contenga el alboroto hasta saber más?",,,1,1,1,,1,,920,390,45,"Excelencia, la guerra es real pero de momento se ha logrado contener.","Excelencia, todo el reino sabe que estamos en guerra y se vienen más fatigas."
De lenguas extrañas y saltos celestiales,"Excelencia, el número de mujeres afectadas en el valle de Tena crece, y ya se cuentan por decenas. Se dice que saltan desde alturas imposibles, hablan lenguas desconocidas y claman estar atadas por hechizos. La Iglesia ha comenzado a intervenir, pero hay quien teme que el contagio sea espiritual… o peor, protestante. Si el rumor se extiende, podría provocar pánico en otras tierras del Reyno. ¿Ordenáis reforzar la pesquisa, o que se contenga la noticia?",,1,,1,1,1,,,830,330,50,"Excelencia, el caos sigue pero contenido. La Iglesia ha intervenido.","Excelencia, los rumores se propagan como pulgas y se habla de embrujadas hasta en la Villa y Corte."
Cartas cruzadas y nobles cruzados,"Excelencia, corren rumores desde Andalucía que no deben tomarse a la ligera: se dice que ciertos nobles del sur, inquietos por el rumbo del Reino y por las cargas de la guerra, han comenzado a reunirse en secreto. Se habla de cartas cruzadas, de visitas nocturnas y de palabras que no convienen. Algunos mencionan incluso la idea de un gobierno propio. Aunque no hay parte oficial, si el rumor prende, sabe el buen Dios lo que podría desatarse. ¿Ordenáis enviar pesquisidor a indagar, o que se deje al tiempo apagar la inquietud?",,,1,1,1,,1,1,510,400,90," Excelencia, tenemos información sobre el origen de los rumores.","Excelencia, nadie sabe nada."
Manuelinho suena campanas y no es para misa,"Excelencia, llegan nuevas desde Évora que no deben tomarse a la ligera: se dice que el pueblo, incitado por un tal Manuelinho, ha comenzado a alzarse contra los tributos y abusos del gobierno. Se oyen campanas fuera de hora, se han roto puertas de oficiales y algunos escribanos han huido. Aún no hay parte oficial. ¿Ordenáis enviar pesquisidor a contener el tumulto, o que se observe desde lejos?",,,1,1,1,1,,1,550,430,55," Excelencia, tenemos hombres de confianza en el terreno.","Excelencia, son solo rumores sobre rumores. No hay nada que temer."
La gran huida catalana,"Excelencia, se murmura que Su Majestad ha abandonado Barcelona con excesiva premura, dejando las Cortes sin clausura ni acuerdo. Algunos diputados lo toman por desdén, y hay quien teme que el gesto encienda agravios antiguos. Si el rumor se extiende, podría quebrar la imagen de respeto mutuo entre la Corona y el Principado. ¿Ordenáis enviar pesquisidor a tomar el pulso del descontento, o que se deje al tiempo apagar la inquietud?",,,1,1,1,1,1,,920,390,60,"Excelencia, se ha encubierto la retirada de su Católica Majestad como una breve indisposición.","Excelencia, todo el reino sabe que su Majestad ha abandonado el Principado por las malas y ya corren chanzas por los mentideros que lo llaman el Rey Liebre."
Tributos al pilón y escribanos al paredón,"Excelencia, el alboroto en Évora ha pasado de murmullo a clamor: se han saqueado casas de recaudadores, y los vecinos se agrupan en la plaza clamando contra los tributos y la autoridad del virrey. Se teme que otras ciudades del Alentejo sigan el ejemplo. Algunos nobles locales guardan silencio… o peor, simpatizan. ¿Ordenáis enviar fuerza y emisario, o que se intente calmar con promesas?",,,1,1,1,,,1,530,410,65,"Excelencia, el descontento es bien real","Excelencia, son solo rumores sobre rumores. No hay nada que temer."
Monjas contra el Diablo,"Excelencia, la Inquisición ha tomado cartas en el asunto de las endemoniadas de Tena. Se habla de exorcismos fallidos, de monjas enviadas desde Zaragoza, y de sospechas sobre brujería organizada. Algunos clérigos dudan que sea obra del demonio, y murmuran que hay pasiones humanas disfrazadas de trance. Si esto se confirma, podría encender escándalo en Aragón. ¿Ordenáis que se investigue con celo, o que se silencie el proceso?",,1,,1,1,1,,,830,330,70,"Excelencia, ya no se habla de brujas sino de locuras, desmanes y burlas propios de los Hijos de Adán. Los inquisidores retoman su labor y el pánico se ha controlado.","Excelencia, hasta su majestad el rey está preocupado por las brujas y teme salir de galanteo por si acaba hechizado."
Un Mal Corpus en Barcelona,"Excelencia, las voces de Barcelona no cesan: se dice que el tumulto del Corpus ha crecido, que se han saqueado casas y que algunos han huido por temor. El pueblo clama contra agravios antiguos, y hay quien teme que el fervor religioso se haya tornado en furia política. Si el rumor se extiende, podría quebrar la paz en Cataluña. ¿Ordenáis reforzar la pesquisa, o que se contenga la noticia hasta saber más?",,,,2,2,,,1,920,390,80,"Excelencia, hemos retomado el control.",El desorden ha arraigado en otras villas del Principado. El Virrey es un inepto.
Cartas cruzadas y nobles cruzados,"Excelencia, corren rumores inquietantes desde Barcelona: se dice que durante la festividad del Corpus, el pueblo se alzó en tumulto contra ciertos oficiales, rompiendo puertas y clamando en las calles. Algunos hablan de sangre derramada, otros de justicia popular. Aunque aún no hay parte oficial, el desorden podría prender en otras villas. ¿Ordenáis enviar pesquisidor a indagar, o que se deje al virrey contener el alboroto?",,1,1,1,1,,,1,840,310,75,"Excelencia, hemos dispuesto tropas para tomar el control en Portugal.","Excelencia, el incendio se ha descontrolado y carecemos de fuerza en el reino. Portugal es un caos."
Papeles al fuego y lealtades que son humo,"Excelencia, las voces del sur se tornan más precisas: se dice que hay quien ha hablado de levantar tropas propias, de proclamar soberanía en Andalucía, y de buscar alianzas fuera del Reino. Algunos escribanos han sido vistos quemando papeles, y hay quien teme que se esté fraguando algo más que descontento. Si el rumor se confirma, podría quebrar la obediencia de una tierra rica y estratégica. ¿Ordenáis reforzar la pesquisa, o que se contenga la noticia hasta saber más?",1,,,1,1,,1,1,300,320,73,"Ciertamente algo huele a podrido en Andalucia, Excelencia.",":Se han exagerado los rumores, Excelencia."
Coronas ajenas y fidelidades en rebaja,"Excelencia, el rumor de conjura en Andalucía ha alcanzado gravedad: se dice que hay nombres ilustres implicados, que se ha hablado de coronas ajenas y de dividir el Reino con ayuda extranjera. Aunque no hay confesión ni prueba firme, el clima es de inquietud, y las lenguas no cesan. Algunos cortesanos ya miran al sur con recelo. ¿Ordenáis enviar pesquisidor con poder real, o que se prepare respuesta más severa?",,,,1,4,1,1,1,325,310,82,"Excelencia, tenemos controlada la situación y adjuntamos informes sobre lo sucedido.","Excelencia, no se puede luchar con pesquisidores contra Coronas, Grandes y Hombres Ilustres que conspiran juntos."
Algo huele a sangre en Barcelona,"Excelencia, el alboroto en Barcelona ha alcanzado gravedad: se dice que hay muertos en las calles, que los templos han sido profanados y que el pueblo se ha hecho dueño de la plaza. Algunos murmuran que no es sólo un motín, sino el inicio de algo mayor. ¿Ordenáis enviar pesquisidor con poder real, o que se prepare respuesta más severa?",1,1,,1,1,1,,,830,350,85,"Excelencia, el orden ha retornado a Barcelona.","Excelencia, el conde de Santa Coloma, virrey de Cataluña, ha sido asesinado y los franceses se frotan las manos."
Del Alentejo al Infierno hay solo un pregón,"Excelencia, el alzamiento de Évora no ha cesado: se dice que Manuelinho ha ganado el favor del pueblo, y que incluso algunos clérigos y menestrales lo aclaman como voz del Reino. Las autoridades locales no logran sofocar el tumulto, y hay quien teme que este fuego se extienda por todo Portugal. ¿Ordenáis enviar pesquisidor con poder real, o que se prepare respuesta más severa?",,,,2,2,1,0,1,520,405,86,"Excelencia, la situación ha empeorado y ya se ha avisado a todos nuestros agentes en Portugal para que se preparen.","Excelencia, el alzamiento ha cesado y el pueblo clama a su Católica Majestad en contra del tal Manuelinho."
El aire se enrarece,"Excelencia, se dice que habéis enviado vuestros papeles al escritorio real, y que el Rey, sin palabra, los devolvió antes de partir de caza. Desde la Torre de la Parada, ha escrito aceptando vuestra instancia de retiro. Los embajadores ya hablan de vuestra caída, y algunos ministros gestionan sin consulta. Si el rumor se confirma, será tomado por todos como fin de vuestra privanza. ¿Ordenáis que se siga investigando, o que se deje correr como voluntad del Rey?",,,,1,4,1,1,,350,330,90,"Excelencia, la Corte está vacía porque no confían en vuestro buen gobierno. Temed lo peor.","Excelencia, los rumores han sido exagerados. Los Grandes están todos indispuestos por motivos de salud."
