Tiruto,Mision,Rey,Iglesia,Nobleza,Descontento,Influencia,cura,noble,malechor,x,y,start,,,,,,,,,,,
La gran huida catalana,"Excelencia, se murmura que Su Majestad ha abandonado Barcelona con excesiva premura, dejando las Cortes sin clausura ni acuerdo. Algunos diputados lo toman por desdén, y hay quien teme que el gesto encienda agravios antiguos. Si el rumor se extiende, podría quebrar la imagen de respeto mutuo entre la Corona y el Principado. ¿Ordenáis enviar pesquisidor a tomar el pulso del descontento, o que se deje al tiempo apagar la inquietud?",,,1,-5,5,1,1,,920,390,55,,,,,,,,,,,
Los franceses quieren guerra,"Excelencia, corren nuevas de gran gravedad: se dice que Francia ha declarado la guerra a España, rompiendo toda esperanza de concordia. Si el rumor es cierto, podríamos ver abrirse un nuevo frente en medio de nuestras fatigas. Las plazas murmuran, los comerciantes tiemblan, y algunos nobles ya hablan de levas y tributos. ¿Ordenáis enviar pesquisidor a confirmar la noticia, o que se contenga el alboroto hasta saber más?",,,1,-5,5,,1,,920,390,60,,,,,,,,,,,
Serpientes en misa y fuego sin quemadura,"Excelencia, llegan voces inquietantes desde el valle de Tena, en los Pirineos de Huesca: se dice que varias mujeres han sido vistas reptando como serpientes en la iglesia, lanzándose al fuego sin daño y vomitando objetos imposibles. El clero local habla de posesión diabólica, y el vulgo ya teme que el Maligno haya hecho nido en la comarca. ¿Ordenáis enviar pesquisidor a verificar tales prodigios, o que se deje al obispo resolver el asunto?",,1,,-5,5,1,,,830,330,65,,,,,,,,,,,
De lenguas extrañas y saltos celestiales,"Excelencia, el número de mujeres afectadas en el valle de Tena crece, y ya se cuentan por decenas. Se dice que saltan desde alturas imposibles, hablan lenguas desconocidas y claman estar atadas por hechizos. La Iglesia ha comenzado a intervenir, pero hay quien teme que el contagio sea espiritual… o peor, protestante. Si el rumor se extiende, podría provocar pánico en otras tierras del Reyno. ¿Ordenáis reforzar la pesquisa, o que se contenga la noticia?",,1,,-5,5,1,,,830,330,70,,,,,,,,,,,
"Monjas contra el Diablo, y el Diablo en todas partes","Excelencia, la Inquisición ha tomado cartas en el asunto de las endemoniadas de Tena. Se habla de exorcismos fallidos, de monjas enviadas desde Zaragoza, y de sospechas sobre brujería organizada. Algunos clérigos dudan que sea obra del demonio, y murmuran que hay pasiones humanas disfrazadas de trance. Si esto se confirma, podría encender escándalo en Aragón. ¿Ordenáis que se investigue con celo, o que se silencie el proceso?",,1,,-5,5,1,,,830,330,80,,,,,,,,,,,
Manuelinho suena campanas y no es para misa,"Excelencia, llegan nuevas desde Évora que no deben tomarse a la ligera: se dice que el pueblo, incitado por un tal Manuelinho, ha comenzado a alzarse contra los tributos y abusos del gobierno. Se oyen campanas fuera de hora, se han roto puertas de oficiales y algunos escribanos han huido. Aún no hay parte oficial. ¿Ordenáis enviar pesquisidor a contener el tumulto, o que se observe desde lejos?",,,1,-5,5,1,,1,530,410,90,,,,,,,,,,,
Tributos al pilón y escribanos al paredón,"Excelencia, el alboroto en Évora ha pasado de murmullo a clamor: se han saqueado casas de recaudadores, y los vecinos se agrupan en la plaza clamando contra los tributos y la autoridad del virrey. Se teme que otras ciudades del Alentejo sigan el ejemplo. Algunos nobles locales guardan silencio… o peor, simpatizan. ¿Ordenáis enviar fuerza y emisario, o que se intente calmar con promesas?",,,1,-5,5,,,1,530,410,100,,,,,,,,,,,
Del Alentejo al Infierno hay solo un pregón,"Excelencia, el alzamiento de Évora no ha cesado: se dice que Manuelinho ha ganado el favor del pueblo, y que incluso algunos clérigos y menestrales lo aclaman como voz del Reino. Las autoridades locales no logran sofocar el tumulto, y hay quien teme que este fuego se extienda por todo Portugal. ¿Ordenáis enviar pesquisidor con poder real, o que se prepare respuesta más severa?",,,,-10,10,1,0,1,530,410,105,,,,,,,,,,,
Cartas cruzadas y nobles cruzados,"Excelencia, corren rumores inquietantes desde Barcelona: se dice que durante la festividad del Corpus, el pueblo se alzó en tumulto contra ciertos oficiales, rompiendo puertas y clamando en las calles. Algunos hablan de sangre derramada, otros de justicia popular. Aunque aún no hay parte oficial, el desorden podría prender en otras villas. ¿Ordenáis enviar pesquisidor a indagar, o que se deje al virrey contener el alboroto?",,1,1,-5,5,,,1,830,330,110,,,,,,,,,,,
Un Mal Corpus en Barcelona,"Excelencia, las voces de Barcelona no cesan: se dice que el tumulto del Corpus ha crecido, que se han saqueado casas y que algunos han huido por temor. El pueblo clama contra agravios antiguos, y hay quien teme que el fervor religioso se haya tornado en furia política. Si el rumor se extiende, podría quebrar la paz en Cataluña. ¿Ordenáis reforzar la pesquisa, o que se contenga la noticia hasta saber más?",,,,-10,10,,,1,920,390,115,,,,,,,,,,,
Algo huele a sangre en Barcelona,"Excelencia, el alboroto en Barcelona ha alcanzado gravedad: se dice que hay muertos en las calles, que los templos han sido profanados y que el pueblo se ha hecho dueño de la plaza. Algunos murmuran que no es sólo un motín, sino el inicio de algo mayor. ¿Ordenáis enviar pesquisidor con poder real, o que se prepare respuesta más severa?",1,1,,-5,5,1,,,830,330,120,,,,,,,,,,,
Cartas cruzadas y nobles cruzados,"Excelencia, corren rumores desde Andalucía que no deben tomarse a la ligera: se dice que ciertos nobles del sur, inquietos por el rumbo del Reino y por las cargas de la guerra, han comenzado a reunirse en secreto. Se habla de cartas cruzadas, de visitas nocturnas y de palabras que no convienen. Algunos mencionan incluso la idea de un gobierno propio. Aunque no hay parte oficial, si el rumor prende, sabe el buen Dios lo que podría desatarse. ¿Ordenáis enviar pesquisidor a indagar, o que se deje al tiempo apagar la inquietud?",,,1,-5,5,,1,1,530,410,125,,,,,,,,,,,
Papeles al fuego y lealtades que son humo,"Excelencia, las voces del sur se tornan más precisas: se dice que hay quien ha hablado de levantar tropas propias, de proclamar soberanía en Andalucía, y de buscar alianzas fuera del Reino. Algunos escribanos han sido vistos quemando papeles, y hay quien teme que se esté fraguando algo más que descontento. Si el rumor se confirma, podría quebrar la obediencia de una tierra rica y estratégica. ¿Ordenáis reforzar la pesquisa, o que se contenga la noticia hasta saber más?",1,,,-5,5,,1,,325,320,130,,,,,,,,,,,
Coronas ajenas y fidelidades en rebaja,"Excelencia, el rumor de conjura en Andalucía ha alcanzado gravedad: se dice que hay nombres ilustres implicados, que se ha hablado de coronas ajenas y de dividir el Reino con ayuda extranjera. Aunque no hay confesión ni prueba firme, el clima es de inquietud, y las lenguas no cesan. Algunos cortesanos ya miran al sur con recelo. ¿Ordenáis enviar pesquisidor con poder real, o que se prepare respuesta más severa?",,,,-5,20,,1,,325,320,135,,,,,,,,,,,
El aire se enrarece,"Excelencia, desde vuestra llegada de Aragón, se murmura que los grandes del Reino esquivan la Corte. En la capilla real, apenas el joven conde de Santa Coloma ocupó su asiento entre los magnates. Los predicadores, desde el púlpito, deslizan críticas veladas al gobierno. Y se dice que ciertas damas, antaño retiradas, han vuelto a palacio como quien espera un cambio. ¿Ordenáis tomar nota de estos gestos, o que se dejen pasar como viento cortesano?",,,,-5,20,1,1,,325,320,140,,,,,,,,,,,
"Excelencia, debo preguntaros ¿seguís siendo el valido?","Excelencia, se dice que habéis enviado vuestros papeles al escritorio real, y que el Rey, sin palabra, los devolvió antes de partir de caza. Desde la Torre de la Parada, ha escrito aceptando vuestra instancia de retiro. Los embajadores ya hablan de vuestra caída, y algunos ministros gestionan sin consulta. Si el rumor se confirma, será tomado por todos como fin de vuestra privanza. ¿Ordenáis que se siga investigando, o que se deje correr como voluntad del Rey?",,,,-5,20,,1,1,325,320,145,,,,,,,,,,,
